Sample,Latitude,Longitude,Date.time,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,System_number,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
SAL-BV-035,-34.34593659,123.6629647,22/11/2022 4:01,20221122,12:01:00,Salisbury Island,Eastern Recherche,Fished,78.9,Yes,Yes,Alex McLennan,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,2/11/2023,Claude Spencer,8/11/2023,
SAL-BV-026,-34.35307209,123.6522622,22/11/2022 3:53,20221122,11:53:00,Salisbury Island,Eastern Recherche,Fished,79.4,Yes,Yes,Daniel Agnello,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,25/10/2023,Alex McLennan,7/11/2023,2 hermit crabs fighting each other after period (video in cool clips folder)
SAL-BV-C11,-34.37083794,123.643165,22/11/2022 3:44,20221122,11:44:00,Salisbury Island,Eastern Recherche,Fished,80.9,Yes,No,Alex McLennan,Daniel Agnello,No,Yes,No,Yes,N/A,Molly Gerrans,2,29,30,20,RAW2,17/10/2023,Claude Spencer,,Sponge completely blocks left camera
SAL-BV-049,-34.38435333,123.6363099,22/11/2022 3:35,20221122,11:35:00,Salisbury Island,Eastern Recherche,Fished,82.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,23/10/2023,Claude Spencer,9/11/2023,
SAL-BV-013,-34.40500309,123.624557,22/11/2022 3:23,20221122,11:23:00,Salisbury Island,Eastern Recherche,Fished,83.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,26/10/2023,Claude Spencer,13/11/2023,Housing 43 but camera 36 - use post CAL
SAL-BV-068,-34.41095643,123.5949456,22/11/2022 3:12,20221122,11:12:00,Salisbury Island,Eastern Recherche,Fished,88.8,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,30/10/2023,Claude Spencer,14/11/2023,
SAL-BV-083,-34.43899483,123.6116742,22/11/2022 1:15,20221122,09:15:00,Salisbury Island,Eastern Recherche,Fished,81,Yes,Yes,Daniel Agnello,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,2/11/2023,Alex McLennan,7/11/2023,
SAL-BV-C10,-34.4601941,123.5699235,22/11/2022 0:57,20221122,08:57:00,Salisbury Island,Eastern Recherche,Fished,82.3,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,24/10/2023,Claude Spencer,10/11/2023,
SAL-BV-054,-34.47094964,123.5662194,22/11/2022 0:45,20221122,08:45:00,Salisbury Island,Eastern Recherche,Fished,86.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,25/10/2023,Claude Spencer,13/11/2023,"Bruv lifts up after 1 minute, travels for 30 seconds, then drops again. Housing 43 but camera 36 - use post CAL. "
SAL-BV-C09,-34.47247845,123.5976589,22/11/2022 0:34,20221122,08:34:00,Salisbury Island,Eastern Recherche,Fished,86.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,12/10/2023,Claude Spencer,9/11/2023,need to double check caesioperca lepidoptera through all videos
SAL-BV-C08,-34.46984078,123.6226578,22/11/2022 0:24,20221122,08:24:00,Salisbury Island,Eastern Recherche,Fished,84.1,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,30/10/2023,Claude Spencer,14/11/2023,weird wrasse to double check
SAL-BV-001,-34.46670461,123.6283059,22/11/2022 0:19,20221122,08:19:00,Salisbury Island,Eastern Recherche,Fished,47.8,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,23/10/2023,Claude Spencer,9/11/2023,Kelp coverage annoying but manageable
SAL-BV-080,-34.46316253,123.6481971,22/11/2022 0:08,20221122,08:08:00,Salisbury Island,Eastern Recherche,Fished,85.9,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,10/10/2023,Claude Spencer,3/11/2023,
SAL-BV-057,-34.45575408,123.6618775,21/11/2022 23:57,20221122,07:57:00,Salisbury Island,Eastern Recherche,Fished,84.6,Yes,Yes,Alex McLennan,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,1/11/2023,Claude Spencer,14/11/2023,
SAL-BV-043,-34.43747999,123.5081563,21/11/2022 7:19,20221121,15:19:00,Salisbury Island,Eastern Recherche,Fished,91.6,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,10/10/2023,Claude Spencer,3/11/2023,
SAL-BV-C06,-34.42974534,123.5382463,21/11/2022 7:05,20221121,15:05:00,Salisbury Island,Eastern Recherche,Fished,90.8,Yes,Yes,Alex McLennan,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,1/11/2023,Claude Spencer,14/11/2023,  
SAL-BV-032,-34.42764662,123.5610232,21/11/2022 6:51,20221121,14:51:00,Salisbury Island,Eastern Recherche,Fished,90.4,Yes,Yes,Daniel Agnello,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,2/11/2023,Alex McLennan,7/11/2023,Could not measure lepidoptera as it only appears in L
SAL-BV-027,-34.41246656,123.5395713,21/11/2022 6:37,20221121,14:37:00,Salisbury Island,Eastern Recherche,Fished,86.1,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,11/10/2023,Claude Spencer,3/11/2023,Recorded opcode changed from 079
SAL-BV-C07,-34.40662698,123.5222674,21/11/2022 6:27,20221121,14:27:00,Salisbury Island,Eastern Recherche,Fished,66.3,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,20/10/2023,Claude Spencer,9/11/2023,"Opcode recorded on cam maybe wrong. Yep, records C05. C. taurus outside period @108minutes."
SAL-BV-C05,-34.40376508,123.5171644,21/11/2022 6:17,20221121,14:17:00,Salisbury Island,Eastern Recherche,Fished,83.5,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,14/11/2023,Daniel Agnello,14/11/2023,Cam recorded 027 but dropped at C05. unknown white fish with stripe
SAL-BV-C04,-34.39788544,123.5243921,21/11/2022 6:10,20221121,14:10:00,Salisbury Island,Eastern Recherche,Fished,81.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,24/10/2023,Claude Spencer,10/11/2023,Didn't drop at the opcode recorded on cam
SAL-BV-063,-34.39273574,123.5255309,21/11/2022 6:02,20221121,14:02:00,Salisbury Island,Eastern Recherche,Fished,83.5,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,25/10/2023,Claude Spencer,13/11/2023,Housing 43 but camera 36 - use post CAL
SAL-BV-056,-34.30190728,123.4926449,21/11/2022 3:18,20221121,11:18:00,Salisbury Island,Eastern Recherche,Fished,80.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,18/10/2023,Claude Spencer,9/11/2023,Bruv dropped. Tangle in rope. Pulled up to untangle. Bruv dropped again.
SAL-BV-C03,-34.30883246,123.5191172,21/11/2022 3:07,20221121,11:07:00,Salisbury Island,Eastern Recherche,Fished,77.6,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,26/10/2023,Claude Spencer,13/11/2023,Didn't drop at the opcode recorded on cam
SAL-BV-C02,-34.31604117,123.5394085,21/11/2022 2:56,20221121,10:56:00,Salisbury Island,Eastern Recherche,Fished,72.5,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,25/10/2023,Claude Spencer,10/11/2023,Didn't drop at the opcode recorded on cam. Housing 43 but camera 36 - use post CAL
SAL-BV-C01,-34.31912852,123.518249,21/11/2022 2:43,20221121,10:43:00,Salisbury Island,Eastern Recherche,Fished,79.5,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,24/10/2023,Claude Spencer,10/11/2023,Fish on sounder. Didn't drop at the opcode recorded on cam.
SAL-BV-022,-34.32191272,123.5100899,21/11/2022 2:32,20221121,10:32:00,Salisbury Island,Eastern Recherche,Fished,81.8,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,11/10/2023,Claude Spencer,3/11/2023,
SAL-BV-047,-34.31721358,123.4814367,21/11/2022 2:20,20221121,10:20:00,Salisbury Island,Eastern Recherche,Fished,83,Yes,Yes,Alex McLennan,Alex McLennan,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,2/11/2023,Claude Spencer,8/11/2023,CAM RECORDED 042 BUT PLAN CHANGED TO 047
SAL-BV-059,-34.3532273,123.5359638,21/11/2022 1:01,20221121,09:01:00,Salisbury Island,Eastern Recherche,Fished,35.5,Yes,No,Alex McLennan,Alex McLennan,No,Yes,No,Yes,N/A,Molly Gerrans,7,39,40,25,RAW2,31/10/2023,Claude Spencer,,CAM RECORDED 002 BUT PLAN CHANGED TO 059. Skipper said this was site 059 but my map says 039. Cam 39 not on when pulled up (battery pack wasn't on). Only about 30 mins footage. MaxN out of Right
SAL-BV-091,-34.36013659,123.5225436,21/11/2022 0:47,20221121,08:47:00,Salisbury Island,Eastern Recherche,Fished,51.7,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,3/11/2023,Daniel Agnello,3/11/2023,"CAM RECORDED 056 BUT CHANGED PLAN TO 091. Bruv moves about 2.5 minutes after drop, period starts from second location"
