Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Macroalgae	Biota: Octocoral.Black	Biota: Seagrasses	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated	CampaignID
12RC7	0	0	4	11	0	0	20	0	14	1	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
12RC8	0	0	3	0	17	0	20	1	19	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
12RC9	0	0	0	16	0	8	12	0	16	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13	0	0	15	0	0	0	20	0	0	0	0	0	0	15	2014-12_Geographe.Bay_stereoBRUVs
135	0	0	10	0	0	0	20	0	4	0	6	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
138	0	0	10	0	0	3	17	0	1	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
139	0	0	13	0	0	0	20	0	6	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC1	0	0	0	10	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC11	0	2	8	0	0	0	20	0	0	0	8	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
13RC12	0	0	5	0	0	0	20	0	0	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC13	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC15	0	1	4	0	0	0	20	0	0	0	4	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
13RC2	0	0	0	19	0	19	1	0	19	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC3	0	0	0	12	0	3	17	0	12	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC4	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC5	1	8	6	0	0	0	20	0	0	0	6	0	0	9	2014-12_Geographe.Bay_stereoBRUVs
13RC6	0	7	3	0	0	0	20	0	2	0	1	0	0	7	2014-12_Geographe.Bay_stereoBRUVs
13RC7	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
13RC8	0	10	3	0	0	0	20	0	0	0	3	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
13RC9	0	6	4	0	0	2	18	0	2	0	2	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
14	0	2	14	0	0	0	20	0	11	0	3	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
143	0	0	9	0	0	0	20	0	9	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
144	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
15	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
151	0	0	10	0	0	0	20	0	1	0	8	1	0	0	2014-12_Geographe.Bay_stereoBRUVs
154	0	0	9	0	0	0	20	0	6	0	3	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
16	0	0	10	0	0	0	20	0	8	0	2	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
160	0	0	14	0	0	0	20	0	0	0	14	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
167	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
17	0	6	5	0	0	0	19	0	1	0	3	1	0	6	2014-12_Geographe.Bay_stereoBRUVs
170	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
175	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
176	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
18	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
183	0	0	10	0	0	0	20	0	0	0	8	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
19	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
192	0	1	12	0	0	0	20	0	12	0	0	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
196	0	1	14	0	0	3	17	0	2	0	12	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
199	0	0	14	0	0	0	20	0	12	0	1	0	1	0	2014-12_Geographe.Bay_stereoBRUVs
2	0	0	10	0	0	0	20	0	9	0	0	1	0	0	2014-12_Geographe.Bay_stereoBRUVs
20	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
202	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
207	0	0	10	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
208	0	0	13	0	0	0	20	0	0	0	13	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
21	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
215	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
218	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
22	0	0	10	0	0	0	20	0	1	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
224	0	0	9	0	0	0	20	0	3	0	6	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
23	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
234	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
236	0	0	12	0	0	0	20	0	2	0	7	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
24	0	5	1	0	0	1	19	0	1	0	0	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
240	0	4	13	0	0	0	20	0	8	0	5	0	0	4	2014-12_Geographe.Bay_stereoBRUVs
247	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
25	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
250	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
256	0	2	6	0	0	0	20	0	4	0	2	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
26	0	0	11	0	0	0	20	0	0	0	11	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
267	0	9	1	0	0	0	20	0	0	0	1	0	0	9	2014-12_Geographe.Bay_stereoBRUVs
27	0	10	0	0	0	2	18	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
270	0	0	5	0	0	0	20	0	0	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
271	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
272	0	0	9	0	0	0	20	0	0	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
279	0	0	10	0	0	0	20	0	3	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
28	0	2	8	0	0	0	20	0	8	0	0	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
282	0	0	10	0	0	0	20	0	2	0	7	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
287	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
288	0	1	9	0	0	0	20	0	6	0	3	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
29	0	0	13	0	0	0	20	0	13	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
295	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
298	0	0	12	0	0	0	20	0	3	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
3	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
30	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
304	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
31	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
314	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
316	0	0	10	0	0	0	20	0	3	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
32	0	0	10	0	0	0	20	0	2	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
320	0	4	7	0	0	1	19	0	0	0	7	0	0	4	2014-12_Geographe.Bay_stereoBRUVs
327	0	0	8	0	0	0	20	0	3	0	4	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
33	0	3	7	0	0	0	20	0	4	0	3	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
330	0	0	4	4	0	0	20	2	3	0	0	1	2	0	2014-12_Geographe.Bay_stereoBRUVs
331	0	1	9	0	0	1	19	0	1	0	8	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
335	0	0	10	0	0	0	20	0	0	0	6	0	0	4	2014-12_Geographe.Bay_stereoBRUVs
34	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
346	0	0	7	0	0	0	20	0	1	0	6	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
35	0	1	9	0	0	2	18	1	1	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
352	0	3	11	0	0	0	20	0	1	0	10	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
36	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
362	0	0	8	0	0	0	20	0	0	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
368	0	0	5	0	0	0	20	0	5	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
37	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
375	0	0	9	0	0	0	20	0	0	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
378	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
38	0	9	0	0	0	0	20	0	0	0	0	0	0	9	2014-12_Geographe.Bay_stereoBRUVs
384	0	0	10	0	0	0	20	0	6	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
39	0	0	2	5	0	0	20	0	0	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
391	0	2	12	0	0	0	20	0	0	0	12	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
394	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
395	0	0	11	0	0	0	20	0	0	0	11	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
399	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
4	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
40	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
400	0	3	7	0	0	0	20	0	1	0	6	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
407	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
41	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
416	0	0	12	0	0	0	20	0	0	0	12	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
42	0	0	2	10	0	0	20	0	0	0	12	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
428	0	0	9	0	0	0	20	0	9	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
432	0	3	11	0	0	0	20	0	6	0	5	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
439	0	0	13	0	0	0	20	0	0	0	13	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
44	0	2	8	0	0	0	20	0	0	0	3	0	0	7	2014-12_Geographe.Bay_stereoBRUVs
442	0	0	15	0	0	0	20	0	8	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
443	0	0	10	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
448	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
45	5	0	0	0	0	0	20	0	0	0	0	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
451	0	0	13	0	0	0	20	0	0	0	10	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
455	0	6	6	0	0	0	20	0	0	0	6	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
458	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
46	0	3	7	0	0	0	20	0	0	0	2	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
463	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
47	0	6	4	0	0	0	20	0	0	0	4	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
474	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
48	0	0	4	11	0	0	20	0	4	0	11	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
480	0	0	10	0	0	0	20	0	1	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
49	9	1	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
490	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
492	0	11	4	0	0	0	20	0	0	0	0	0	0	15	2014-12_Geographe.Bay_stereoBRUVs
496	0	0	9	0	0	0	20	0	1	0	7	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
499	0	0	13	0	0	0	20	0	0	0	13	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
5	0	6	5	0	0	0	20	0	1	0	4	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
50	0	0	0	16	0	0	20	0	16	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
503	0	0	8	0	0	0	20	0	0	0	5	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
506	0	0	9	0	0	0	20	0	9	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
51	0	0	0	10	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
512	0	8	2	0	0	0	20	0	2	0	0	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
52	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
523	0	1	13	0	0	0	20	0	0	0	13	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
527	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
528	0	0	10	0	0	0	20	0	6	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
53	11	0	0	0	0	0	20	0	0	0	0	0	0	11	2014-12_Geographe.Bay_stereoBRUVs
538	0	0	10	0	0	0	20	0	0	0	7	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
54	1	7	4	0	0	0	20	0	0	0	4	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
543	0	0	20	0	0	0	20	0	20	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
544	0	0	10	0	0	0	20	0	0	0	8	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
55	0	4	6	0	0	0	20	0	0	0	6	0	0	4	2014-12_Geographe.Bay_stereoBRUVs
551	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
554	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
56	0	8	2	0	0	0	20	0	0	0	2	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
560	0	2	12	0	0	0	20	0	0	0	6	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
567	0	1	13	0	0	0	20	0	0	0	12	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
570	0	2	8	0	0	0	20	0	0	0	8	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
572	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
579	0	0	11	0	0	0	20	0	0	0	11	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
58	0	0	0	10	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
583	0	0	15	0	0	0	20	0	13	0	0	2	0	0	2014-12_Geographe.Bay_stereoBRUVs
586	0	0	10	0	0	0	20	0	0	0	8	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
587	0	0	9	0	0	0	20	0	0	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
592	0	1	11	0	0	0	20	0	0	0	11	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
599	0	0	14	0	0	0	20	0	7	0	6	1	0	0	2014-12_Geographe.Bay_stereoBRUVs
6	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
60	0	0	8	4	0	0	20	0	7	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
602	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
608	0	0	10	0	0	0	20	0	1	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
61	0	2	8	0	0	0	20	0	7	0	0	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
611	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
615	0	0	7	0	0	0	20	0	0	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
618	0	0	10	0	0	0	20	0	6	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
62	0	10	1	0	0	0	20	0	1	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
623	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
624	0	0	10	0	0	0	20	0	5	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
63	0	6	5	0	0	0	20	0	0	0	4	0	0	7	2014-12_Geographe.Bay_stereoBRUVs
631	0	0	8	0	0	0	20	0	5	0	3	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
633	0	0	10	0	0	0	20	0	6	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
634	0	0	10	0	0	0	20	0	5	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
635	0	1	9	0	0	0	20	0	1	0	8	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
64	0	0	1	5	0	0	20	0	1	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
640	0	0	10	0	0	0	20	0	1	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
647	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
65	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
650	0	0	10	0	0	0	20	0	2	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
655	0	1	10	0	0	1	19	0	3	0	7	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
656	0	0	13	0	0	0	20	0	0	0	13	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
666	0	2	6	0	0	0	20	0	0	0	6	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
67	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
672	0	0	12	0	0	0	20	0	0	0	12	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
679	0	9	2	0	0	0	20	0	2	0	0	0	0	9	2014-12_Geographe.Bay_stereoBRUVs
68	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
682	0	0	2	10	0	0	20	0	12	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
684	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
688	0	0	10	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
69	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
694	0	0	11	0	0	1	19	0	3	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
698	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
7	0	15	0	0	0	0	20	0	0	0	0	0	0	15	2014-12_Geographe.Bay_stereoBRUVs
70	0	6	1	0	0	0	20	0	0	0	0	0	0	7	2014-12_Geographe.Bay_stereoBRUVs
704	0	0	5	0	0	0	20	0	0	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
71	0	0	0	10	0	0	20	0	5	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
711	5	0	5	0	0	0	20	0	0	0	5	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
714	0	2	8	0	0	0	20	0	0	0	5	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
719	0	10	1	0	0	0	20	0	1	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
72	7	4	1	0	0	0	20	1	0	0	0	0	0	11	2014-12_Geographe.Bay_stereoBRUVs
720	7	4	3	0	0	0	20	0	3	0	0	0	0	11	2014-12_Geographe.Bay_stereoBRUVs
73	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
735	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
736	0	3	6	0	0	0	20	0	1	0	4	0	0	4	2014-12_Geographe.Bay_stereoBRUVs
746	8	2	0	0	0	0	20	0	0	0	2	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
748	0	0	11	0	0	0	20	0	7	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
75	0	0	15	0	0	0	20	0	0	0	15	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
752	4	1	5	0	0	0	20	0	4	0	1	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
755	0	0	8	0	0	0	20	0	8	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
759	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
