op_code,relief_1_some_relief_features_amongst_mostly_flat_substrate_sand_rubble_45_degree_substrate_slope,relief_2_mostly_relief_features_amongst_some_flat_substrate_or_rubble_45_substrate_slope,relief_3_good_relief_structure_with_some_overhangs_45_substrate_slope,relief_4_high_structural_complexity_fissures_and_caves_vertical_wall_90_substrate_slope,relief_unknown,field_of_view_facing_down,field_of_view_facing_up,field_of_view_limited,field_of_view_open,code,biota_consolidated_boulder_turf_mat,biota_consolidated_cobbles_turf_mat,biota_consolidated_cobbles_veneer,biota_consolidated_rock_turf_mat,biota_consolidated_rock_veneer,biota_invertebrate_complex_complex_1_na,biota_invertebrate_complex_complex_2_na,biota_invertebrate_complex_complex_3_na,biota_macroalgae_erect_course_branching_brown,biota_macroalgae_filamentous_and_filiform_na,biota_macroalgae_globose_saccate_na,biota_macroalgae_large_canopy_forming_brown,biota_macroalgae_sheet_like_membranous_na,biota_octocoral_black_branching_3d_na,biota_octocoral_black_fan_2d_na,biota_octocoral_black_massive_soft_corals_na,biota_octocoral_black_whip_na,biota_open_water_na_na,biota_seagrasses_elliptical_leaves_na,biota_sponges_crusts_encrusting,biota_sponges_erect_forms_branching,biota_sponges_erect_forms_lamiar,biota_sponges_hollow_forms_cups_and_alikes,biota_sponges_massive_forms_simple,biota_stony_corals_branching_bleached,biota_stony_corals_branching_live,biota_stony_corals_columnar_live,biota_stony_corals_digitate_bleached,biota_stony_corals_digitate_live,biota_stony_corals_encrusting_live,biota_stony_corals_foliose_plate_live,biota_stony_corals_massive_bleached,biota_stony_corals_massive_live,biota_stony_corals_small_mixed_live,biota_stony_corals_tabulate_live,biota_unconsolidated_pebble_gravel_biogenic_coral_rubble,biota_unconsolidated_pebble_gravel_biogenic_rhodolith,biota_unconsolidated_pebble_gravel_gravel_2_10mm_na,biota_unconsolidated_pebble_gravel_pebble_10_64mm_na,biota_unconsolidated_sand_mud_coarse_sand_na,biota_unconsolidated_sand_mud_fine_sand_na,biota_unknown_na_na
E165,6,0,0,0,0,0,0,2,18,395017534,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
E166,2,9,4,0,1,0,0,3,17,675625178,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0
E168,1,0,0,0,0,0,0,3,17,803009300,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E19,8,0,0,0,0,0,0,2,18,425020248,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E191,2,16,0,0,0,0,0,0,20,203221814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0
E195,0,0,0,0,0,0,0,0,20,1015818698,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E208,3,3,9,0,0,0,0,2,18,445280796,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0,0,0,0,0,0
E213,3,7,0,0,0,0,0,2,18,536925669,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
E231,0,0,8,0,0,0,0,2,18,1053938416,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
E236,0,0,0,0,0,0,0,2,18,820010140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
E237,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E243,7,7,0,0,0,0,0,2,18,558723439,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
E268,0,15,0,0,0,0,0,2,18,381492079,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0
E270,4,0,0,0,0,0,0,2,18,947174720,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0
E276,4,0,0,0,0,0,0,3,17,526481248,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E280,0,0,0,0,0,0,0,2,18,1640020225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0
E285,0,5,0,0,0,0,0,2,18,548460586,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0
E29,3,0,2,4,0,0,0,3,17,664212352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,6,0,0,0,0
E298,0,0,0,0,0,0,0,3,17,820010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
E37,7,0,0,0,0,0,0,3,17,1640020171,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
E39,7,0,0,0,0,17,0,3,0,1498355999,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
E42,17,0,0,0,0,0,0,2,18,224598270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
E49,6,5,0,0,0,0,0,2,18,1252352926,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
E79,0,0,0,0,0,0,0,2,18,656008112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
E89,0,10,0,0,0,0,0,2,18,112909066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0
E93,7,2,0,0,0,0,0,3,17,171840312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
E95,4,6,0,0,0,0,0,0,20,395749460,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
M03,0,0,0,0,0,0,0,2,18,984012216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
M04,0,0,0,0,0,0,0,1,19,636530260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
M06,0,0,0,0,0,0,0,3,17,820010120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
M07,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M08,0,0,0,0,0,0,0,2,18,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M09,0,0,0,0,0,0,0,9,11,760590899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0
M102,6,8,0,0,0,0,0,2,18,1006593852,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
M104,0,0,0,0,0,0,0,0,20,231015538,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
M105,0,0,0,0,0,0,0,2,18,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M108,0,2,0,0,0,0,0,0,20,1640020168,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
M109,0,0,0,0,0,0,0,2,18,678345866,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M11,0,0,0,0,0,0,0,1,19,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M110,0,0,0,0,0,0,0,3,17,656008112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
M111,0,0,0,0,0,0,0,3,17,803009300,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M112,0,0,0,0,0,0,0,2,18,820010140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
M113,0,0,0,0,0,0,0,2,18,820010070,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
M116,0,0,0,0,0,0,0,2,18,1230015225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
M119,6,0,0,0,0,0,0,5,15,822800489,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
M12,0,0,0,0,0,0,0,12,8,514587875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
M123,0,0,0,0,0,0,0,2,18,521694260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
M125,0,0,0,0,0,0,0,2,18,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M13,0,0,0,0,0,0,0,0,20,1230015165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
M130,0,0,0,0,0,14,0,3,3,1529117566,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
M131,0,0,0,0,0,0,0,2,18,804709272,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M132,0,3,0,0,0,0,0,2,18,853516916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M134,0,6,0,0,0,0,0,2,18,984012082,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0
M137,4,0,0,0,0,0,0,2,18,1016350784,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M139,0,0,0,0,0,0,0,2,18,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M141,0,0,0,0,0,0,0,2,18,954013530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M143,0,0,0,0,0,0,0,2,18,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M146,0,0,0,0,0,0,0,3,17,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M149,0,0,0,0,0,0,0,3,17,1066013143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
M15,0,0,0,0,0,0,0,12,8,313626480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0
M154,0,0,0,0,0,0,0,3,17,820010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
M157,0,10,0,0,0,0,0,2,18,604915144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,5,0
M158,0,0,0,0,0,0,0,2,18,325039411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
M16,1,0,0,0,0,0,0,0,20,155196825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M161,0,7,0,0,0,0,0,0,20,1332017975,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0
M163,0,12,0,0,0,0,0,2,18,1181764836,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0
M164,5,0,0,0,0,0,0,2,18,820010085,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
M165,3,0,0,0,0,0,0,2,18,909901879,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0
M169,0,0,0,0,0,0,0,1,19,253353282,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
M170,0,5,0,0,0,16,0,4,0,220456560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0
M172,2,0,0,0,0,0,0,2,18,678345948,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
M174,0,0,0,0,0,0,0,3,17,820010150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
M177,0,0,0,0,0,0,0,3,17,820010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
M178,0,0,0,0,0,0,0,0,20,676009858,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M179,1,0,0,0,0,0,0,2,18,900310992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M18,0,0,0,0,0,0,0,3,17,636009020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M181,0,0,0,0,0,0,0,2,18,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M183,8,0,0,0,0,0,0,3,17,735699227,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M184,0,0,0,0,0,0,0,3,17,111689170,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M185,0,9,0,0,0,0,0,3,17,1088594881,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
M186,0,4,0,0,0,0,0,2,18,687570960,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M187,0,0,0,0,0,0,0,7,13,401504570,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M188,0,0,0,0,0,0,0,15,5,814909805,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
M189,0,0,0,0,0,0,0,2,18,592526361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
M193,2,0,0,0,0,0,0,3,17,678589896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
M194,14,0,0,0,0,0,0,0,20,1148014056,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M195,0,0,0,0,0,0,0,3,17,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M199,0,0,0,0,0,0,0,2,18,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M20,0,0,0,0,0,0,0,0,20,67013502,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M201,0,0,0,0,0,0,0,2,18,78182419,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M202,12,0,0,0,0,0,0,4,16,984012036,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M21,0,0,0,0,0,0,0,3,17,677177974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
M211,0,4,0,0,0,0,0,3,17,619170711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
M217,0,0,0,0,0,0,0,0,20,642407312,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M218,0,4,0,0,0,0,0,4,16,373167684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
M22,0,6,0,0,0,0,0,0,20,395749496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0
M222,0,0,0,0,0,0,0,3,17,803009140,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M224,0,0,0,0,0,0,0,0,20,410005020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M226,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
