campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
2014-04_Tasman_Fracture_CMR_stereoBRUVs,165,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,49,2,6,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,49,10000904,1,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,53,2,15,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,53,82001007,3,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Biologenic,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,53,82001014,2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,55,2,9,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,42,2,16,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,42,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,42,82001014,1,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,131,2,13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,131,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,142,2,8,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,145,2,10,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,145,10000915,2,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,74,2,1,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,74,82001014,11,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,83,2,11,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,83,10000915,3,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,83,82001014,1,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,94,10000000,8,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,94,82001015,6,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,95,82001014,14,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,130,2,1,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,130,82001014,9,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,144,10000000,2,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,144,10000915,2,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,144,82001014,6,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,146,2,3,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,75,2,8,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,75,10000915,2,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,89,82001014,15,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,96,2,6,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,96,10000000,5,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,96,82001015,1,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,137,2,5,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,137,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,143,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,81,2,1,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,93,2,17,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,98,2,7,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,132,2,13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,132,10000000,2,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,132,10000904,4,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,132,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,135,2,4,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,135,10000000,3,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,135,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,135,82001014,7,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,147,2,10,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,147,82001014,5,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,77,2,4,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,77,82001014,16,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,86,82001014,4,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,91,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,92,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,101,2,7,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,101,82001014,4,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,136,2,17,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,136,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,136,10000902,1,Biota,Sponges,Crusts,Encrusting,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,136,10000904,1,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,138,82001014,19,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,148,2,15,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,148,10000000,2,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,148,10000915,3,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,149,2,3,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,149,10000904,1,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,149,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,149,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,149,82001015,5,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,80,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,99,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,182,2,20,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,69,2,5,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,69,82001014,5,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,87,82001014,15,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,90,2,20,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,179,2,7,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,184,2,6,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,184,10000902,3,Biota,Sponges,Crusts,Encrusting,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,184,82001014,11,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,67,2,18,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,67,10000902,2,Biota,Sponges,Crusts,Encrusting,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,178,2,17,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,178,10000904,3,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,186,2,9,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,186,82001014,2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,76,2,13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,76,10000915,2,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,76,82001014,2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,88,82001014,13,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,97,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,185,82001008,4,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Biologenic,Coquina / shellhash,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,185,82001014,12,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,68,2,1,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,82,82001014,12,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,187,2,20,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,100,2,14,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,100,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,100,10000913,2,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,183,2,5,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,183,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,183,82001014,14,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,78,2,9,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,78,10000000,3,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,78,10000915,7,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,78,11168902,1,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,84,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,181,2,2,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,5,2,7,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,5,10000000,2,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,5,10000913,2,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,5,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,5,11284000,1,Biota,Cnidaria,Colonial anemones,Zoanthids,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,8,2,11,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,11,2,1,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,11,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,11,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,17,2,8,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,17,10000000,4,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,17,10000912,2,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,13,2,3,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,14,2,12,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,14,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,14,82001015,2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,18,82001014,11,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,X2,2,9,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,X2,10000000,2,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,X2,10000912,1,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,X2,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,15,2,6,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,15,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,15,82001014,7,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,16,2,19,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,16,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,20,2,13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,20,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,20,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,X1,10000912,1,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,X1,82001014,9,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,9,2,13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,9,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,9,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,9,82001014,5,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,12,2,2,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,12,82001014,8,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,37,2,2,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,37,82001014,9,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,1,2,3,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,1,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,1,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
