campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
2012-08_Flinders_CMR_BRUV,16_492_S3D1_140812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,16_592_S3D1_140812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,16_reef_S3D1_140812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,1_1153_S1D1_170812_repeat_LHCam_178_join,82003001,11,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,1_1_S1D1_170812_repeat_LHCam_174_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,1_2049_S1D1_170812_repeat_LHCam_84_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,1_2177_S1D1_170812_repeat_LHCam_226_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,1_577_S1D1_170812_repeat_LHCam_224_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,23_1047_S2S1_110812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,23_1111_S1D1_110812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,23_23_S1D1_110812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,23_855_S1D1_110812_LHCam_175_Join,82003003,3,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,23_855_S1D1_110812_LHCam_175_Join,82003004,7,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,23_967_S1D1_110812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,28_1052_S1D1_220812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,28_284_S1D1_220812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,28_28_S1D1_220812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,28_348_S1D1_220812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,28_972_S1D1_220812_RHCam_85_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_1597_S3D2_120812_LHCam_226_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_2045_S3D2_120812_LHCam_178_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_2109_S3D2_120812_LHCam_224_join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_2_S3D2_120812_LHCam_175_join,82003007,20,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_reef_S3D2_120812_LHCam_174_join,82003001,6,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_reef_S3D2_120812_LHCam_174_join,82003004,2,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,2_reef_S3D2_120812_LHCam_174_join,82003006,4,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,31_287_S1D2_2208_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,31_31_S1D2_22081_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,31_399_S1D2_220812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,31_543_S1D2_220812_LHCam_86_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,31_95_S1D2_220812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,3_1027_S3D1_150812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,3_3_S3D1_150812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,3_420_S3D1_150812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,3_788_S3D1_150812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,3_970_S3D1_150812_RHCam_74_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,4_255_S3D2_140812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,4_260_S3D2_140812_RHCam_85_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,4_4_S3D2_140812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,4_511_S3D2_140812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,4_991_S3D2_140812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_1031_S2D1_110812_LHCam_175_Join,82003003,7,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_1031_S2D1_110812_LHCam_175_Join,82003004,3,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_1351_S2D1_110812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_2119_S2D1_110812_RHCam_224_Join,82003001,4,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_2119_S2D1_110812_RHCam_224_Join,82003003,1,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_2119_S2D1_110812_RHCam_224_Join,82003004,5,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_775_S2D1_110812_LHCam_178_Join,82003003,10,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,7_7_S2D1_110812_LHCam_226_Join,82003003,10,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,NevCH_169_S1D2_110812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,NevCH_5373_S1D2_110812_LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,NevCH_617_S1D2_110812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,NevCH_873_S1D2_110812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,NevCH_reef_S1D2_110812_LHCam_175_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,SthCan_3_S2D1_170812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,SthCan_4_S2D1_170812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,SthCan_5_S2D1_170812 _LHCam_224_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
