campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count,caab_code
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,6,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-05,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,1,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-05,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-05,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,11,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-05,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,16,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Bryozoa,Soft,Dendroid,NA,NA,NA,NA,NA,NA,NA,1,20000906
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,9,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,1,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Macroalgae,Erect coarse branching,Green,NA,NA,NA,NA,NA,NA,NA,1,80300905
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,1,80300909
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,2,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA,1,10000915
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Sponges,Erect forms,Simple,NA,NA,NA,NA,NA,NA,NA,1,10000916
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Biota,Sponges,Massive forms,Cryptic,NA,NA,NA,NA,NA,NA,NA,1,10000908
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,4,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,9,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,1,11168902
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,1,11168912
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA,3,80300929
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,6,54079009
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Seirococcaceae,Scytothalia,dorycarpa,3,54102005
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Sponges,Crusts,Encrusting,NA,NA,NA,NA,NA,NA,NA,10,10000902
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA,3,10000913
2022-11_Investigator_stereo-BRUVs,INV-BV-14,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,1,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-14,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-14,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,3,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-14,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,28,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,1,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Biota,Macroalgae,Erect coarse branching,NA,NA,NA,NA,NA,NA,NA,NA,3,80300903
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,1,80300909
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,2,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,1,10000904
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,16,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,11,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-20,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,33,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,2,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300906
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,6,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,7,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Biota,Macroalgae,Filamentous / filiform,NA,NA,NA,NA,NA,NA,NA,NA,10,80300930
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Physical,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,1,82001002
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,4,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,5,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,1,80300909
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,1,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,1,80300933
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Biota,Sponges,Crusts,Encrusting,NA,NA,NA,NA,NA,NA,NA,2,10000902
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Substrate,Consolidated (hard),Boulders,NA,NA,NA,NA,NA,NA,NA,1,82001003
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,4,82001011
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,15,82001012
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,8,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,1,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1,54079009
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Seirococcaceae,Scytothalia,dorycarpa,1,54102005
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,80300000
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,5,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,15,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,3,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,1,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,Erect coarse branching,Green,NA,NA,NA,NA,NA,NA,NA,1,80300905
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300906
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,2,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,Filamentous / filiform,Green,NA,NA,NA,NA,NA,NA,NA,1,80300932
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,4,80300933
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,80300000
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Physical,Substrate,Consolidated (hard),Cobbles,NA,NA,NA,NA,NA,NA,NA,1,82001004
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,5,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,11,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-28,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,30,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-29,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,5,82001012
2022-11_Investigator_stereo-BRUVs,INV-BV-29,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,30,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,5,80300909
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Biota,Macroalgae,Filamentous / filiform,Green,NA,NA,NA,NA,NA,NA,NA,1,80300932
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,6,82001012
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,8,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-35,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,5,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-36,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,3,54079009
2022-11_Investigator_stereo-BRUVs,INV-BV-36,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Seirococcaceae,Scytothalia,dorycarpa,25,54102005
2022-11_Investigator_stereo-BRUVs,INV-BV-36,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA,2,80300902
2022-11_Investigator_stereo-BRUVs,INV-BV-36,Physical,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,1,82001002
2022-11_Investigator_stereo-BRUVs,INV-BV-42,Biota,Bryozoa,Hard,Branching,NA,NA,NA,NA,NA,NA,NA,1,20000908
2022-11_Investigator_stereo-BRUVs,INV-BV-42,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,31,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,1,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Macroalgae,Filamentous / filiform,Green,NA,NA,NA,NA,NA,NA,NA,3,80300932
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,2,80300933
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80300000
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Sponges,Erect forms,Simple,NA,NA,NA,NA,NA,NA,NA,1,10000916
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,1,10000904
2022-11_Investigator_stereo-BRUVs,INV-BV-44,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,15,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,1,11001000
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,3,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,10,54079009
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,80300000
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Sponges,Crusts,Encrusting,NA,NA,NA,NA,NA,NA,NA,2,10000902
2022-11_Investigator_stereo-BRUVs,INV-BV-48,Biota,Sponges,Cup-likes,Cups,NA,NA,NA,NA,NA,NA,NA,1,10000910
2022-11_Investigator_stereo-BRUVs,INV-BV-51,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-51,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,12,80300909
2022-11_Investigator_stereo-BRUVs,INV-BV-51,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,9,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-51,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,80300000
2022-11_Investigator_stereo-BRUVs,INV-BV-51,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10000000
2022-11_Investigator_stereo-BRUVs,INV-BV-51,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,2,82001011
2022-11_Investigator_stereo-BRUVs,INV-BV-53,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,3,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-53,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-53,Biota,Macroalgae,Erect coarse branching,NA,NA,NA,NA,NA,NA,NA,NA,1,80300903
2022-11_Investigator_stereo-BRUVs,INV-BV-53,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,2,82001012
2022-11_Investigator_stereo-BRUVs,INV-BV-53,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,20,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Ascidians,Stalked,Solitary,NA,NA,NA,NA,NA,NA,NA,1,35000905
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,3,80300904
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300906
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Macroalgae,Erect coarse branching,NA,NA,NA,NA,NA,NA,NA,NA,1,80300903
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,6,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,3,54079009
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80300000
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,7,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-55,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,7,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-57,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,5,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-57,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-57,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA,1,10000915
2022-11_Investigator_stereo-BRUVs,INV-BV-57,Physical,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,1,82001002
2022-11_Investigator_stereo-BRUVs,INV-BV-57,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,22,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-58,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,32,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-60,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,7,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-60,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA,1,10000915
2022-11_Investigator_stereo-BRUVs,INV-BV-60,Biota,Sponges,Massive forms,Balls,NA,NA,NA,NA,NA,NA,NA,1,10000905
2022-11_Investigator_stereo-BRUVs,INV-BV-60,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10000000
2022-11_Investigator_stereo-BRUVs,INV-BV-60,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,10,82001014
